,title,link
392,Business education,https://en.wikipedia.org/wiki/Business_education#Undergraduate_education
393,Descriptive statistics,https://en.wikipedia.org/wiki/Descriptive_statistics
394,Data collection,https://en.wikipedia.org/wiki/Data_collection
395,Binomial distribution,https://en.wikipedia.org/wiki/Binomial_distribution
396,Normal distribution,https://en.wikipedia.org/wiki/Normal_distribution
397,Linear regression,https://en.wikipedia.org/wiki/Linear_regression
398,Forecasting,https://en.wikipedia.org/wiki/Forecasting
399,Time series,https://en.wikipedia.org/wiki/Time_series
400,Decision trees,https://en.wikipedia.org/wiki/Decision_trees
401,Multiple linear regression,https://en.wikipedia.org/wiki/Multiple_linear_regression
402,Business analytics,https://en.wikipedia.org/wiki/Business_analytics
